date,Air,Auto,Boat,Bus,Coach,Cruise,Total,Train
20161009,9931,6973,8935,13321,17699,6379,75727,14559
20161010,9041,6966,8928,13303,17687,1951,70368,14559
20161011,8149,6949,8913,13271,17645,14762,82185,14559
20161012,8402,6966,8927,13303,17679,9203,76973,14559
20161013,9434,7009,8967,13388,17790,0,69069,14559
20161014,9374,7081,9033,13524,17974,0,69445,14559
20161015,9118,6953,8917,13287,17651,5940,74362,14559
20161016,9876,6929,8896,13236,17596,3753,72788,14559
20161017,9077,6934,8897,13236,17598,2965,71205,14559
20161018,8147,6937,8903,13252,17614,216,67568,14559
20161019,7869,6957,8920,13287,17664,0,67190,14559
20161020,9551,7021,8977,13406,17823,0,69253,14559
20161021,9421,7105,9057,13576,18039,0,69649,14559
20161022,9014,7021,8978,13406,17825,6002,74721,14559
20161023,9358,6957,8920,13287,17663,3815,72493,14559
20161024,9061,6957,8919,13287,17660,0,68378,14559
20161025,8084,6961,8921,13287,17668,0,67416,14559
20161026,7663,6961,8921,13287,17668,0,66994,14559
20161027,9122,7005,8962,13372,17782,0,68724,14559
20161028,9454,7081,9034,13524,17980,0,69532,14559
20161029,9336,7105,9057,13576,18040,5940,75505,14559
20161030,8736,7040,8999,13457,17879,3753,72334,14559
20161031,7645,6953,8914,13271,17647,4771,71697,14559
20161101,7117,4078,6285,7791,10351,4771,53697,14559
20161102,6824,3971,6188,7587,10086,0,47990,14559
20161103,6912,4672,6831,8931,11865,0,52348,14559
20161104,7630,5960,8007,11382,15129,4151,65032,14559
20161105,6902,5964,8009,11382,15138,7962,68132,14559
20161106,7674,3850,6076,7349,9781,0,48099,14559
20161107,6281,3700,5938,7060,9395,0,45782,14559
20161108,6131,6922,8887,13218,17573,1431,66664,14559
20161109,5626,3624,5869,6923,9200,3315,47990,14559
20161110,6702,4246,6439,8114,10780,5250,54788,14559
20161111,7345,6256,8276,11942,15879,0,62389,14559
20161112,6624,6503,8505,12419,16514,2532,65717,14559
20161113,7605,3580,5830,6838,9095,0,46392,14559
20161114,6734,3289,5562,6277,8354,0,43740,14559
20161115,5598,3368,5636,6430,8558,0,43093,14559
20161116,5180,3328,5601,6362,8457,0,42441,14559
20161117,6664,3863,6090,7383,9813,0,47176,14559
20161118,7353,5746,7811,10972,14585,0,59301,14559
20161119,6407,5933,5429,11330,15059,2532,45021,0
20161120,7006,3516,5772,6719,8934,0,45410,14559
20161121,6643,3257,5535,6226,8275,1431,44900,14559
20161122,5520,3336,5604,6362,8470,715,43520,14559
20161123,5056,0,0,0,0,0,19614,14559
20161124,6048,4353,6539,8319,11058,0,49543,14559
20161125,6988,5669,7743,10836,14397,0,58489,14559
20161126,6296,5980,8025,11415,15184,2532,62200,14559
20161127,7224,3571,5821,6822,9067,0,45952,14559
