date,air,auto,boat,bus,coach,cruise,total,train
20160925,0,4683,8546,12264,14560,3815,57050,13182
20160926,0,4671,8531,12233,14525,4999,58141,13182
20160927,0,4669,8527,12217,14519,8330,61444,13182
20160928,0,4704,8572,12311,14624,4018,57411,13182
20160929,0,4728,8604,12374,14702,2774,56364,13182
20160930,0,4774,8664,12500,14840,2919,56879,13182
20161001,0,4717,8593,12358,14671,13183,66704,13182
20161002,0,4696,8562,12296,14598,3753,57087,13182
20161003,0,4710,8579,12328,14638,1225,54662,13182
20161004,0,4704,8572,12311,14627,931,54327,13182
20161005,0,4717,8589,12343,14668,931,54430,13182
20161006,0,4750,8633,12437,14766,2532,56300,13182
20161007,0,4790,8686,12547,14893,2532,56630,13182
20161008,0,4720,8594,12358,14675,8566,62095,13182
20161009,0,4696,8562,12296,14597,6379,59712,13182
20161010,0,4691,8556,12280,14587,1951,55247,13182
20161011,0,4680,8541,12249,14553,7381,60586,13182
20161012,0,4691,8555,12280,14581,9203,62492,13182
20161013,0,4720,8594,12358,14673,0,53527,13182
20161014,0,4768,8656,12484,14824,0,53914,13182
20161015,0,4683,8546,12264,14558,5940,59173,13182
20161016,0,4667,8525,12217,14513,3753,56857,13182
20161017,0,4669,8526,12217,14514,2748,55856,13182
20161018,0,4671,8532,12233,14527,216,53361,13182
20161019,0,4685,8548,12264,14568,0,53247,13182
20161020,0,4728,8603,12374,14699,0,53586,13182
20161021,0,4784,8679,12532,14878,0,54055,13182
20161022,0,4728,8604,12374,14700,6002,59590,13182
20161023,0,4685,8548,12264,14567,3815,57061,13182
20161024,0,4685,8548,12264,14565,0,53244,13182
20161025,0,4688,8550,12264,14572,0,53256,13182
20161026,0,4688,8550,12264,14572,0,53256,13182
20161027,0,4717,8589,12343,14666,0,53497,13182
20161028,0,4768,8657,12484,14829,0,53920,13182
20161029,0,4784,8679,12532,14879,5940,59996,13182
20161030,0,4741,8624,12421,14745,3753,57466,13182
20161031,0,4683,8542,12249,14555,4771,57982,13182
20161101,0,2746,6023,7192,8537,4771,42451,13182
20161102,0,2674,5930,7003,8319,0,37108,13182
20161103,0,3147,6546,8244,9785,0,40904,13182
20161104,0,4014,7673,10506,12477,2075,49927,13182
20161105,0,4017,7675,10506,12486,7962,55828,13182
20161106,0,2593,5823,6784,8067,0,36449,13182
20161107,0,2491,5690,6516,7749,0,35628,13182
20161108,0,4661,8517,12201,14493,715,53769,13182
20161109,0,2440,5625,6391,7588,2015,37241,13182
20161110,0,2859,6171,7490,8891,5250,43843,13182
